Alter;Einkommen;Preis;Geschlecht;Zeit;KundeNr;Niederlassung;Besucher;Kunde
64;66894.0;88160.31;1.0;43.0;K0310;Bayern;False;True
54;77644.0;103145.7;1.0;40.0;K1042;Berlin;False;True
55;44341.0;80565.16;0.0;37.0;K0382;Baden-Württemberg;False;True
49;67271.0;83949.89;0.0;42.0;K0498;Bayern;False;True
46;49832.0;93781.58;0.0;41.0;K0552;Hessen;False;True
59;62970.0;83862.47;1.0;56.0;K0833;Hessen;False;True
36;23660.0;49960.18;1.0;23.0;K0097;Thüringen;False;True
50;62422.0;94530.65;1.0;38.0;K0290;Thüringen;False;True
32;34112.0;62280.35;1.0;36.0;K0950;Bayern;False;True
62;77546.0;124857.23;1.0;52.0;K0102;Baden-Württemberg;False;True
68;77662.0;118227.18;1.0;54.0;K1098;Thüringen;False;True
45;68432.0;82849.76;0.0;39.0;K0071;Berlin;False;True
51;37169.0;57319.84;0.0;31.0;K1023;Sachsen;False;True
65;78613.0;114603.28;1.0;50.0;K0482;Baden-Württemberg;False;True
53;69721.0;98479.34;1.0;54.0;K0440;Hessen;False;True
62;62350.0;84761.44;1.0;42.0;K0877;Hessen;False;True
34;57844.0;62302.49;1.0;54.0;K0295;Nordrhein-Westfalen;False;True
55;44222.0;78218.77;1.0;37.0;K0329;Bayern;False;True
53;74381.0;120881.72;0.0;57.0;K0433;Nordrhein-Westfalen;False;True
57;45095.0;77157.15;0.0;42.0;K0142;Baden-Württemberg;False;True
43;52813.0;67106.32;0.0;44.0;K0762;Berlin;False;True
46;49340.0;69960.66;0.0;47.0;K0459;Nordrhein-Westfalen;False;True
62;89774.0;117051.99;1.0;72.0;K0865;Sachsen;False;True
55;66861.0;97465.12;0.0;54.0;K1001;Bayern;False;True
66;84822.0;118968.62;0.0;56.0;K0889;Hessen;False;True
59;91693.0;121840.18;1.0;52.0;K0917;Bayern;False;True
67;61517.0;80799.11;0.0;43.0;K0537;Niedersachsen;False;True
66;78548.0;121289.35;0.0;69.0;K0362;Sachsen;False;True
40;61386.0;81555.07;0.0;53.0;K0856;Niedersachsen;False;True
41;45016.0;65106.71;0.0;39.0;K0399;Niedersachsen;False;True
30;39302.0;71437.17;1.0;35.0;K0448;Baden-Württemberg;False;True
65;83431.0;119640.51;1.0;65.0;K0210;Baden-Württemberg;False;True
48;46259.0;73400.97;1.0;29.0;K0502;Baden-Württemberg;False;True
53;56160.0;93839.56;1.0;38.0;K0782;Nordrhein-Westfalen;False;True
37;47689.0;73619.96;0.0;20.0;K0912;Hessen;False;True
55;56264.0;83364.29;1.0;40.0;K0412;Baden-Württemberg;False;True
34;27844.0;41694.48;0.0;36.0;K0690;Bayern;False;True
43;72619.0;94619.66;1.0;56.0;K0698;Berlin;False;True
57;51842.0;70527.14;0.0;51.0;K0045;Sachsen;False;True
39;16051.0;24654.09;0.0;29.0;K0535;Hamburg;False;True
55;63325.0;89117.31;0.0;46.0;K0766;Berlin;False;True
58;64638.0;98621.47;1.0;46.0;K0335;Bayern;False;True
44;54514.0;80645.05;1.0;53.0;K0695;Hessen;False;True
39;44538.0;74086.48;0.0;40.0;K0603;Bayern;False;True
65;96471.0;145684.18;1.0;55.0;K0520;Nordrhein-Westfalen;False;True
